,source,page number,segment number,description,proposed_name,proposed_target,smiles,inchi,inchikey,validation
0,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,0,"tivozanib (Fotivda)
pan-VEGFR kinase inhibitor
renal cell carcinoma
oral: 1.34 mg QD for 21 days in 28 
day cycle",tivozanib (Fotivda),pan-VEGFR kinase inhibitor,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,"InChI=1S/C31H24F3N5O3/c1-15(2)41-24-9-7-18(12-22(24)34)27-26-30(35)36-14-37-31(26)39(38-27)16(3)29-25(17-5-4-6-19(32)11-17)28(40)21-13-20(33)8-10-23(21)42-29/h4-16H,1-3H3,(H2,35,36,37)/t16-/m0/s1",IUVCFHHAEHNCFT-INIZCTEOSA-N,True
1,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,1,"melphalan flufenamide (Pepaxto*)
peptide-conjugated alkylating agent
multiple myeloma
continuous IV (30 mins): 40 mg Q4W",melphalan flufenamide (Pepaxto*),peptide-conjugated alkylating agent,CCOC(=O)[C@H](CC1=CC=C(C=C1)F)NC(=O)[C@H](CC2=CC=C(C=C2)N(CCCl)CCCl)N,"InChI=1S/C24H30Cl2FN3O3/c1-2-33-24(32)22(16-18-3-7-19(27)8-4-18)29-23(31)21(28)15-17-5-9-20(10-6-17)30(13-11-25)14-12-26/h3-10,21-22H,2,11-16,28H2,1H3,(H,29,31)/t21-,22-/m0/s1",YQZNKYXGZSVEHI-VXKWHMMOSA-N,True
2,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,2,"sotorasib (Lumakras)
KRASG12C GTPase inhibitor
NSCLC
oral: 960 mg QD",sotorasib (Lumakras),KRASG12C GTPase inhibitor,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,"InChI=1S/C30H30F2N6O3/c1-6-23(40)36-12-13-37(18(5)15-36)28-19-14-21(32)26(24-20(31)8-7-9-22(24)39)34-29(19)38(30(41)35-28)27-17(4)10-11-33-25(27)16(2)3/h6-11,14,16,18,39H,1,12-13,15H2,2-5H3/t18-/m0/s1",NXQKSXLFSAEQCZ-SFHVURJKSA-N,True
3,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,3,"tivozanib (Fotivda)
pan-VEGFR kinase inhibitor
renal cell carcinoma
oral: 1.34 mg QD for 21 days in 28 
day cycle",tivozanib (Fotivda),pan-VEGFR kinase inhibitor,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,"InChI=1S/C22H19ClN4O5/c1-12-8-21(27-32-12)26-22(28)25-16-5-4-13(9-15(16)23)31-18-6-7-24-17-11-20(30-3)19(29-2)10-14(17)18/h4-11H,1-3H3,(H2,25,26,27,28)",SPMVMDHWKHCIDT-UHFFFAOYSA-N,True
4,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,4,"trilaciclib (Cosela)
CDK4 and 6 kinase inhibitor
myelosuppression in SCLC
continuous IV: 240 mg/m2 prior 
to chemotherapy",trilaciclib (Cosela),CDK4 and 6 kinase inhibitor,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,"InChI=1S/C24H30N8O/c1-30-9-11-31(12-10-30)18-5-6-20(25-15-18)28-23-26-14-17-13-19-22(33)27-16-24(7-3-2-4-8-24)32(19)21(17)29-23/h5-6,13-15H,2-4,7-12,16H2,1H3,(H,27,33)(H,25,26,28,29)",PDGKHKMBHVFCMG-UHFFFAOYSA-N,True
5,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,5,"samidorphan + olanzapine (Lybalvi
opioid antagonist
schizophrenia, bipolar I disorder
oral: up to 10 + 20 mg QD*",samidorphan + olanzapine (Lybalvi,opioid antagonist,C1CC1CN2CC[C@@]34CC(=O)CC[C@]4([C@H]2CC5=CC=C(C(=C53)O)C(=O)N)O,"InChI=1S/C21H26N2O4/c22-19(26)15-4-3-13-9-16-21(27)6-5-14(24)10-20(21,17(13)18(15)25)7-8-23(16)11-12-1-2-12/h3-4,12,16,25,27H,1-2,5-11H2,(H2,22,26)/t16-,20-,21-/m1/s1",RYIDHLJADOKWFM-MAODMQOUSA-N,True
6,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,6,"atogepant (Qulipta)
e)
dex
calcitonin gene-related peptide 
(CGRP) receptor antagonist
migraine
oral: up to 60 mg QD
ne 
D
ca",atogepant (Qulipta),e),C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,"InChI=1S/C29H23F6N5O3/c1-13-16(22-18(30)4-5-19(31)23(22)32)8-20(26(42)40(13)12-29(33,34)35)38-25(41)15-7-14-9-28(10-21(14)37-11-15)17-3-2-6-36-24(17)39-27(28)43/h2-7,11,13,16,20H,8-10,12H2,1H3,(H,38,41)(H,36,39,43)/t13-,16-,20+,28+/m1/s1",QIVUCLWGARAQIO-OLIXTKCUSA-N,True
7,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,7,"serdexmethylphenidate +
dexmethylphenidate (Azstarys)
catecholamine reuptake inhibitor, 
CNS stimulant 
ADHD",serdexmethylphenidate +,dexmethylphenidate (Azstarys),[H][C@]1([C@H](C(=O)OC)c2ccccc2)CCCCN1C(=O)OC[n+]1cccc(C(=O)N[C@@H](CO)C(=O)[O-])c1,"InChI=1S/C25H29N3O8/c1-35-24(33)21(17-8-3-2-4-9-17)20-11-5-6-13-28(20)25(34)36-16-27-12-7-10-18(14-27)22(30)26-19(15-29)23(31)32/h2-4,7-10,12,14,19-21,29H,5-6,11,13,15-16H2,1H3,(H-,26,30,31,32)/t19-,20+,21+/m0/s1",UBZPNQRBUOBBLN-PWRODBHTSA-N,True
8,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,8,"maralixibat (Livmarli)
ileal bile acid transporter 
(IBAT) inhibitor
pruritus in Alagille syndrome
oral: 380 μg/kg QD",maralixibat (Livmarli),ileal bile acid transporter ,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O,"InChI=1S/C40H56N3O4S/c1-5-7-19-40(20-8-6-2)30-48(45,46)37-18-15-34(41(3)4)27-36(37)38(39(40)44)33-13-16-35(17-14-33)47-29-32-11-9-31(10-12-32)28-43-24-21-42(22-25-43)23-26-43/h9-18,27,38-39,44H,5-8,19-26,28-30H2,1-4H3/q+1/t38-,39-/m1/s1",STPKWKPURVSAJF-LJEWAXOPSA-N,True
9,2021-Small-Molecule-Drug-Approvals-Poster.pdf,0,9,"belzutifan (Welireg)
hypoxia-inducible factor 2α 
(HIF2α) inhibitor
VHL disease
oral: 120 mg QD",belzutifan (Welireg),hypoxia-inducible factor 2α ,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,"InChI=1S/C17H12F3NO4S/c1-26(23,24)12-3-2-11(13-14(12)17(22)16(20)15(13)19)25-10-5-8(7-21)4-9(18)6-10/h2-6,15-17,22H,1H3/t15-,16-,17+/m1/s1",LOMMPXLFBTZENJ-ZACQAIPSSA-N,True
